R_fighter,B_fighter,Winner
Jon Jones,Ryan Bader,Red
Miguel Torres,Antonio Banuelos,Red
Chad Mendes,Michihiro Omigawa,Red
Anderson Silva,Vitor Belfort,Red
Donald Cerrone,Paul Kelly,Red
Forrest Griffin,Rich Franklin,Red
Kyle Kingsbury,Ricardo Romero,Red
Paul Taylor,Gabe Ruediger,Red
Mike Pierce,Kenny Robertson,Red
Cole Miller,Matt Wiman,Blue
Pat Barry,Joey Beltran,Red
Matt Mitrione,Tim Hague,Red
Melvin Guillard,Evan Dunham,Red
Mark Hominick,George Roop,Red
Rani Yahya,Mike Brown,Red
DaMarques Johnson,Mike Guymon,Red
Cody McKenzie,Yves Edwards,Blue
Waylon Lowe,Willamy Freire,Red
Will Campuzano,Chris Cariaso,Blue
Charlie Brenneman,Amilcar Alves,Red
Phil Baroni,Brad Tavares,Blue
Jeremy Stephens,Marcus Davis,Red
Brandon Vera,Thiago Silva,Draw
Chris Leben,Brian Stann,Blue
Dustin Poirier,Josh Grispi,Red
Nate Diaz,Dong Hyun Kim,Blue
Clay Guida,Takanori Gomi,Red
Frankie Edgar,Gray Maynard,Draw
Mike Brown,Diego Nunes,Blue
Daniel Roberts,Greg Soto,Red
Jacob Volkmann,Antonio McKee,Red
Jim Miller,Charles Oliveira,Red
Thiago Alves,John Howard,Red
Stefan Struve,Sean McCorkle,Red
Joe Stevenson,Mac Danzig,Blue
Joe Doerksen,Dan Miller,Blue
Mark Bocek,Dustin Hazelett,Red
Georges St-Pierre,Josh Koscheck,Red
Jesse Bongfeldt,Rafael Natal,Draw
TJ Grant,Ricardo Almeida,Blue
Pat Audinwood,John Makdessi,Blue
Matthew Riddle,Sean Pierson,Blue
Johny Hendricks,Rick Story,Blue
Kendall Grove,Demian Maia,Blue
Sako Chivitchian,Kyle Watson,Blue
Stephan Bonnar,Igor Pokrajac,Red
Cody McKenzie,Aaron Wilkinson,Red
Nam Phan,Leonard Garcia,Blue
Jonathan Brookins,Michael Johnson,Red
Ian Loveland,Tyler Toner,Red
Will Campuzano,Nick Pace,Blue
Fredson Paixao,Pablo Garza,Blue
Rich Attonito,David Branch,Blue
Phil Davis,Tim Boetsch,Red
Karo Parisyan,Dennis Hallman,Blue
Matt Brown,Brian Foster,Blue
Gerald Harris,Maiquel Falcao,Blue
Aaron Simpson,Mark Munoz,Blue
Matt Hughes,BJ Penn,Blue
Quinton Jackson,Lyoto Machida,Red
George Sotiropoulos,Joe Lauzon,Red
Mike Lullo,Edson Barboza,Blue
Paul Kelly,TJ O'Brien,Red
Tyson Griffin,Nik Lentz,Blue
Kyle Noke,Rob Kimmons,Red
Amir Sadollah,Peter Sobotta,Red
Dennis Siver,Andre Winner,Red
Pascal Krauss,Mark Scanlon,Red
Duane Ludwig,Nick Osipczak,Red
Nate Marquardt,Yushin Okami,Blue
Vladimir Matyushenko,Alexandre Ferreira,Red
Krzysztof Soszynski,Goran Reljic,Red
Kris McCray,Carlos Eduardo Rocha,Blue
Seth Petruzelli,Karlos Vemola,Blue
Mike Guymon,Daniel Roberts,Blue
Diego Sanchez,Paulo Thiago,Red
Court McGee,Ryan Jensen,Red
Brendan Schaub,Gabriel Gonzaga,Red
Jake Shields,Martin Kampmann,Red
Brock Lesnar,Cain Velasquez,Blue
Tito Ortiz,Matt Hamill,Blue
Patrick Cote,Tom Lawlor,Blue
Sam Stout,Paul Taylor,Red
Jon Madsen,Gilbert Yvel,Red
Chris Camozzi,Dongi Yang,Red
Cyrille Diabate,Alexander Gustafsson,Blue
John Hathaway,Mike Pyle,Blue
Dan Hardy,Carlos Condit,Blue
Paul Sass,Mark Holst,Red
James Wilks,Claude Patrick,Blue
Cheick Kongo,Travis Browne,Draw
Michael Bisping,Yoshihiro Akiyama,Red
Rob Broughton,Vinicius Queiroz,Red
James McSweeney,Fabio Maldonado,Blue
Spencer Fisher,Curt Warburton,Red
Thiago Tavares,Pat Audinwood,Red
CB Dollaway,Joe Doerksen,Red
Sean Sherk,Evan Dunham,Red
Matt Serra,Chris Lytle,Blue
Rogerio Nogueira,Ryan Bader,Blue
Melvin Guillard,Jeremy Stephens,Red
Frank Mir,Mirko Filipovic,Red
Matt Mitrione,Joey Beltran,Red
Steve Lopez,Waylon Lowe,Blue
Mark Hunt,Sean McCorkle,Blue
TJ Grant,Julio Paulino,Red
Nate Marquardt,Rousimar Palhares,Red
Rich Attonito,Rafael Natal,Red
Yves Edwards,John Gunderson,Red
Tomasz Drwal,David Branch,Blue
Jared Hamman,Kyle Kingsbury,Blue
Cole Miller,Ross Pearson,Red
Jim Miller,Gleison Tibau,Red
Efrain Escudero,Charles Oliveira,Blue
Brian Foster,Forrest Petz,Red
TJ Waldburger,David Mitchell,Red
Joe Lauzon,Gabe Ruediger,Red
Andre Winner,Nik Lentz,Blue
Demian Maia,Mario Miranda,Red
Frankie Edgar,BJ Penn,Red
Dan Miller,John Salter,Red
Randy Couture,James Toney,Red
Kenny Florian,Gray Maynard,Blue
Nate Diaz,Marcus Davis,Red
Mike Pierce,Amilcar Alves,Red
Nick Osipczak,Greg Soto,Blue
Jon Fitch,Thiago Alves,Red
Roy Nelson,Junior Dos Santos,Blue
Rodney Wallace,Phil Davis,Blue
Clay Guida,Rafael Dos Anjos,Red
Matt Hughes,Ricardo Almeida,Red
Johny Hendricks,Charlie Brenneman,Red
Anderson Silva,Chael Sonnen,Red
Dustin Hazelett,Rick Story,Blue
Todd Brown,Tim Boetsch,Blue
Stefan Struve,Christian Morecraft,Red
Ben Saunders,Dennis Hallman,Blue
DaMarques Johnson,Matthew Riddle,Blue
Jon Jones,Vladimir Matyushenko,Red
Tyson Griffin,Takanori Gomi,Blue
Mark Munoz,Yushin Okami,Blue
James Irvin,Igor Pokrajac,Blue
Brian Stann,Mike Massenzio,Red
Paul Kelly,Jacob Volkmann,Blue
John Howard,Jake Ellenberger,Blue
Darren Elkins,Charles Oliveira,Blue
Rob Kimmons,Steve Steinbeiss,Red
Chris Leben,Yoshihiro Akiyama,Red
Krzysztof Soszynski,Stephan Bonnar,Blue
George Sotiropoulos,Kurt Pellegrino,Red
Chris Lytle,Matt Brown,Red
Brock Lesnar,Shane Carwin,Red
Seth Petruzelli,Ricardo Romero,Blue
Brendan Schaub,Chris Tuchscherer,Red
Kendall Grove,Goran Reljic,Red
Gerald Harris,David Branch,Red
Forrest Petz,Daniel Roberts,Blue
Jon Madsen,Karlos Vemola,Red
Court McGee,Kris McCray,Red
Chris Leben,Aaron Simpson,Red
Jamie Yager,Rich Attonito,Blue
John Gunderson,Mark Holst,Red
Spencer Fisher,Dennis Siver,Blue
Keith Jardine,Matt Hamill,Blue
Brad Tavares,Seth Baczynski,Red
Josh Bryant,Kyle Noke,Blue
James McSweeney,Travis Browne,Blue
Chris Camozzi,James Hammortree,Red
Tyson Griffin,Evan Dunham,Blue
Paulo Thiago,Martin Kampmann,Blue
Mirko Filipovic,Pat Barry,Red
David Loiseau,Mario Miranda,Blue
Ben Rothwell,Gilbert Yvel,Red
Carlos Condit,Rory MacDonald,Red
Mac Danzig,Matt Wiman,Blue
Chuck Liddell,Rich Franklin,Blue
James Wilks,Peter Sobotta,Red
Ricardo Funch,Claude Patrick,Blue
Mike Pyle,Jesse Lennox,Red
Melvin Guillard,Waylon Lowe,Red
Michael Bisping,Dan Miller,Red
Todd Duffee,Mike Russow,Blue
Efrain Escudero,Dan Lauzon,Red
Jason Brilz,Rogerio Nogueira,Blue
Diego Sanchez,John Hathaway,Blue
Quinton Jackson,Rashad Evans,Blue
Amir Sadollah,Dong Hyun Kim,Blue
Luiz Cane,Cyrille Diabate,Blue
Aaron Riley,Joe Brammer,Red
Jesse Forbes,Ryan Jensen,Blue
Marcus Davis,Jonathan Goulet,Red
Tom Lawlor,Joe Doerksen,Blue
Josh Koscheck,Paul Daley,Red
TJ Grant,Johny Hendricks,Blue
Patrick Cote,Alan Belcher,Blue
Sam Stout,Jeremy Stephens,Blue
Kevin Ferguson,Matt Mitrione,Blue
Joey Beltran,Tim Hague,Red
Jason MacDonald,John Salter,Blue
Yoshiyuki Yoshida,Mike Guymon,Blue
Lyoto Machida,Mauricio Rua,Blue
BJ Penn,Frankie Edgar,Blue
Anderson Silva,Demian Maia,Red
Kendall Grove,Mark Munoz,Blue
Nick Osipczak,Rick Story,Blue
Matt Hughes,Renzo Gracie,Red
DaMarques Johnson,Brad Blackburn,Red
Alexander Gustafsson,Phil Davis,Blue
Terry Etim,Rafael Dos Anjos,Blue
Paul Kelly,Matt Veach,Red
Jon Madsen,Mostapha Al-Turk,Red
Kenny Florian,Takanori Gomi,Red
Ross Pearson,Dennis Siver,Red
Rob Emerson,Nik Lentz,Blue
Caol Uno,Gleison Tibau,Blue
Andre Winner,Rafaello Oliveira,Red
Roy Nelson,Stefan Struve,Red
Jacob Volkmann,Ronys Torres,Red
Nate Quarry,Jorge Rivera,Blue
Yushin Okami,Lucio Linhares,Red
Gerald Harris,Mario Miranda,Red
Charlie Brenneman,Jason High,Red
Jim Miller,Mark Bocek,Red
Rousimar Palhares,Tomasz Drwal,Red
Ricardo Almeida,Matt Brown,Red
Nate Diaz,Rory Markham,Red
Kurt Pellegrino,Fabricio Camoes,Red
Georges St-Pierre,Dan Hardy,Red
Frank Mir,Shane Carwin,Blue
Ben Saunders,Jon Fitch,Blue
Rodney Wallace,Jared Hamman,Blue
Matthew Riddle,Greg Soto,Red
Alessio Sakara,James Irvin,Red
John Howard,Daniel Roberts,Red
Clay Guida,Shannon Gugerty,Red
Eliot Marshall,Vladimir Matyushenko,Blue
Junior Dos Santos,Gabriel Gonzaga,Red
Duane Ludwig,Darren Elkins,Blue
Brandon Vera,Jon Jones,Blue
Cheick Kongo,Paul Buentello,Red
Brendan Schaub,Chase Gormley,Red
Eric Schafer,Jason Brilz,Blue
Mike Pierce,Julio Paulino,Red
Chris Lytle,Brian Foster,Red
Krzysztof Soszynski,Stephan Bonnar,Red
CB Dollaway,Goran Reljic,Red
Cain Velasquez,Antonio Rodrigo Nogueira,Red
Mirko Filipovic,Anthony Perosh,Red
George Sotiropoulos,Joe Stevenson,Red
Ryan Bader,Keith Jardine,Red
Wanderlei Silva,Michael Bisping,Red
James Te Huna,Igor Pokrajac,Red
Demian Maia,Dan Miller,Red
Melvin Guillard,Ronys Torres,Red
Matt Serra,Frank Trigg,Red
Randy Couture,Mark Coleman,Red
Mac Danzig,Justin Buchholz,Red
Paulo Thiago,Mike Swick,Red
Rob Emerson,Phillipe Nover,Red
Chael Sonnen,Nate Marquardt,Red
Phil Davis,Brian Stann,Red
Chris Tuchscherer,Tim Hague,Red
Joey Beltran,Rolles Gracie,Red
Rick Story,Jesse Lennox,Red
Amir Sadollah,Brad Blackburn,Red
Aaron Simpson,Tom Lawlor,Red
Evan Dunham,Efrain Escudero,Red
Rory MacDonald,Mike Guymon,Red
Gray Maynard,Nate Diaz,Red
Thiago Tavares,Nik Lentz,Draw
Chris Leben,Jay Silva,Red
Gerald Harris,John Salter,Red
Rafael Dos Anjos,Kyle Bradley,Red
Nick Catone,Jesse Forbes,Red
Jim Miller,Duane Ludwig,Red
Martin Kampmann,Jacob Volkmann,Red
Cole Miller,Dan Lauzon,Red
Paul Daley,Dustin Hazelett,Red
Junior Dos Santos,Gilbert Yvel,Red
Sam Stout,Joe Lauzon,Red
Rashad Evans,Thiago Silva,Red
Mark Munoz,Ryan Jensen,Red
Rafaello Oliveira,John Gunderson,Red
Jake Ellenberger,Mike Pyle,Red
Frank Mir,Cheick Kongo,Red
Johny Hendricks,Ricardo Funch,Red
Matt Wiman,Shane Nelson,Red
Jon Fitch,Mike Pierce,Red
Kenny Florian,Clay Guida,Red
Alan Belcher,Wilson Gouveia,Red
Stefan Struve,Paul Buentello,Red
BJ Penn,Diego Sanchez,Red
Rousimar Palhares,Lucio Linhares,Red
DaMarques Johnson,Edgar Garcia,Red
TJ Grant,Kevin Burns,Red
Matt Hamill,Jon Jones,Red
Brian Stann,Rodney Wallace,Red
Matt Mitrione,Marcus Jones,Red
Frankie Edgar,Matt Veach,Red
James McSweeney,Darrill Schoonover,Red
Kevin Ferguson,Houston Alexander,Red
Roy Nelson,Brendan Schaub,Red
Jon Madsen,Justin Wren,Red
John Howard,Dennis Hallman,Red
Mark Bocek,Joe Brammer,Red
Rogerio Nogueira,Luiz Cane,Red
Paulo Thiago,Jacob Volkmann,Red
Ben Saunders,Marcus Davis,Red
Kendall Grove,Jake Rosholt,Red
Josh Koscheck,Anthony Johnson,Red
Brian Foster,Brock Larson,Red
Forrest Griffin,Tito Ortiz,Red
Amir Sadollah,Phil Baroni,Red
Caol Uno,Fabricio Camoes,Draw
George Sotiropoulos,Jason Dent,Red
Randy Couture,Brandon Vera,Red
Terry Etim,Shannon Gugerty,Red
Michael Bisping,Denis Kang,Red
Nick Osipczak,Matthew Riddle,Red
John Hathaway,Paul Taylor,Red
Matt Brown,James Wilks,Red
Ross Pearson,Aaron Riley,Red
Dan Hardy,Mike Swick,Red
Alexander Gustafsson,Jared Hamman,Red
Dennis Siver,Paul Kelly,Red
Andre Winner,Rolando Delgado,Red
Anthony Johnson,Yoshiyuki Yoshida,Red
Lyoto Machida,Mauricio Rua,Red
Ryan Bader,Eric Schafer,Red
Joe Stevenson,Spencer Fisher,Red
Chael Sonnen,Yushin Okami,Red
Gleison Tibau,Josh Neer,Red
Pat Barry,Antoni Hardonk,Red
Cain Velasquez,Ben Rothwell,Red
Stefan Struve,Chase Gormley,Red
Jorge Rivera,Rob Kimmons,Red
Kyle Kingsbury,Razak Al-Hassan,Red
Josh Koscheck,Frank Trigg,Red
Junior Dos Santos,Mirko Filipovic,Red
Tyson Griffin,Hermes Franca,Red
Vitor Belfort,Rich Franklin,Red
Jim Miller,Steve Lopez,Red
Efrain Escudero,Cole Miller,Red
Paul Daley,Martin Kampmann,Red
Nik Lentz,Rafaello Oliveira,Red
Tomasz Drwal,Drew McFedries,Red
Rick Story,Brian Foster,Red
Rafael Dos Anjos,Rob Emerson,Red
Eliot Marshall,Jason Brilz,Red
Vladimir Matyushenko,Igor Pokrajac,Red
CB Dollaway,Jay Silva,Red
Brian Stann,Steve Cantwell,Red
Jeremy Stephens,Justin Buchholz,Red
Nate Diaz,Melvin Guillard,Red
Nate Quarry,Tim Credeur,Red
Gray Maynard,Roger Huerta,Red
Carlos Condit,Jake Ellenberger,Red
Mike Pyle,Chris Wilson,Red
Ryan Jensen,Steve Steinbeiss,Red
Mike Pierce,Brock Larson,Red
Thiago Silva,Keith Jardine,Red
Brandon Vera,Krzysztof Soszynski,Red
Gabriel Gonzaga,Chris Tuchscherer,Red
Antonio Rodrigo Nogueira,Randy Couture,Red
Aaron Simpson,Ed Herman,Red
Mike Russow,Justin McCully,Red
Jake Rosholt,Chris Leben,Red
Nate Marquardt,Demian Maia,Red
Evan Dunham,Marcus Aurelio,Red
Todd Duffee,Tim Hague,Red
Mark Munoz,Nick Catone,Red
Aaron Riley,Shane Nelson,Red
BJ Penn,Kenny Florian,Red
Kurt Pellegrino,Josh Neer,Red
Anderson Silva,Forrest Griffin,Red
Johny Hendricks,Amir Sadollah,Red
John Howard,Tamdan McCrory,Red
Alessio Sakara,Thales Leites,Red
Ricardo Almeida,Kendall Grove,Red
Matthew Riddle,Dan Cramer,Red
Jesse Lennox,Danillo Villefort,Red
George Sotiropoulos,George Roop,Red
Jim Miller,Mac Danzig,Red
Jon Fitch,Paulo Thiago,Red
Brock Lesnar,Frank Mir,Red
Mark Coleman,Stephan Bonnar,Red
Georges St-Pierre,Thiago Alves,Red
Yoshihiro Akiyama,Alan Belcher,Red
Dan Henderson,Michael Bisping,Red
Jon Jones,Jake O'Brien,Red
Tom Lawlor,CB Dollaway,Red
Dong Hyun Kim,TJ Grant,Red
Shannon Gugerty,Matt Grice,Red
Diego Sanchez,Clay Guida,Red
Ross Pearson,Andre Winner,Red
Tomasz Drwal,Mike Ciesnolevicz,Red
Chris Lytle,Kevin Burns,Red
Brad Blackburn,Edgar Garcia,Red
Melvin Guillard,Gleison Tibau,Red
Joe Stevenson,Nate Diaz,Red
Nick Osipczak,Frank Lester,Red
Jason Dent,Cameron Dollar,Red
James Wilks,DaMarques Johnson,Red
Mirko Filipovic,Mostapha Al-Turk,Red
Spencer Fisher,Caol Uno,Red
Rich Franklin,Wanderlei Silva,Red
Dan Hardy,Marcus Davis,Red
Mike Swick,Ben Saunders,Red
Terry Etim,Justin Buchholz,Red
Dennis Siver,Dale Hartt,Red
Cain Velasquez,Cheick Kongo,Red
Paul Kelly,Rolando Delgado,Red
John Hathaway,Rick Story,Red
Paul Taylor,Peter Sobotta,Red
Stefan Struve,Denis Stojnic,Red
Brock Larson,Mike Pyle,Red
Tim Hague,Pat Barry,Red
Kyle Bradley,Phillipe Nover,Red
Lyoto Machida,Rashad Evans,Red
Frankie Edgar,Sean Sherk,Red
Chael Sonnen,Dan Miller,Red
Matt Hughes,Matt Serra,Red
Drew McFedries,Xavier Foupa-Pokam,Red
Krzysztof Soszynski,Andre Gusmao,Red
Yoshiyuki Yoshida,Brandon Wolff,Red
George Roop,David Kaplan,Red
Cheick Kongo,Antoni Hardonk,Red
Luiz Cane,Steve Cantwell,Red
Krzysztof Soszynski,Brian Stann,Red
Denis Kang,Xavier Foupa-Pokam,Red
Nate Quarry,Jason MacDonald,Red
Sam Stout,Matt Wiman,Red
Mauricio Rua,Chuck Liddell,Red
Anderson Silva,Thales Leites,Red
Ed Herman,David Loiseau,Red
Mark Bocek,David Bielkheden,Red
TJ Grant,Ryo Chonan,Red
Eliot Marshall,Vinny Magalhaes,Red
Tim Credeur,Nick Catone,Red
Gleison Tibau,Jeremy Stephens,Red
Tyson Griffin,Rafael Dos Anjos,Red
Ricardo Almeida,Matt Horwich,Red
Brock Larson,Jesse Sanders,Red
Ryan Bader,Carmelo Marrero,Red
Cole Miller,Junie Browning,Red
Martin Kampmann,Carlos Condit,Red
Rob Kimmons,Joe Vedepo,Red
Aaron Simpson,Tim McKenzie,Red
Jorge Rivera,Nissen Osterneck,Red
Gray Maynard,Jim Miller,Red
Tamdan McCrory,Ryan Madigan,Red
Shane Carwin,Gabriel Gonzaga,Red
Matt Brown,Pete Sell,Red
Matt Hamill,Mark Munoz,Red
Quinton Jackson,Keith Jardine,Red
Kendall Grove,Jason Day,Red
Jason Brilz,Tim Boetsch,Red
Shane Nelson,Aaron Riley,Red
Brandon Vera,Michael Patt,Red
Demian Maia,Chael Sonnen,Red
Diego Sanchez,Joe Stevenson,Red
Evan Dunham,Per Eklund,Red
Terry Etim,Brian Cobb,Red
Paulo Thiago,Josh Koscheck,Red
Nate Marquardt,Wilson Gouveia,Red
Junior Dos Santos,Stefan Struve,Red
Dan Hardy,Rory Markham,Red
Mike Ciesnolevicz,Neil Grove,Red
Paul Kelly,Troy Mandaloniz,Red
Joe Lauzon,Jeremy Stephens,Red
Cain Velasquez,Denis Stojnic,Red
Matt Veach,Matt Grice,Red
Josh Neer,Mac Danzig,Red
Anthony Johnson,Luigi Fioravanti,Red
Dan Miller,Jake Rosholt,Red
Kurt Pellegrino,Rob Emerson,Red
Gleison Tibau,Rich Clementi,Red
Nick Catone,Derek Downey,Red
Matthew Riddle,Steve Bruno,Red
Thiago Tavares,Manvel Gamburyan,Red
Clay Guida,Nate Diaz,Red
Jon Jones,Stephan Bonnar,Red
Georges St-Pierre,BJ Penn,Red
Lyoto Machida,Thiago Silva,Red
Jon Fitch,Akihiro Gono,Red
John Howard,Chris Wilson,Red
Karo Parisyan,Dong Hyun Kim,Draw
Jake O'Brien,Christian Wellisch,Red
Dan Cramer,Matt Arroyo,Red
Marcus Davis,Chris Lytle,Red
John Hathaway,Tom Egan,Red
Dan Henderson,Rich Franklin,Red
Mauricio Rua,Mark Coleman,Red
Eric Schafer,Antonio Mendes,Red
Martin Kampmann,Alexandre Barros,Red
Rousimar Palhares,Jeremy Horn,Red
Alan Belcher,Denis Kang,Red
Tomasz Drwal,Ivan Serati,Red
Dennis Siver,Nate Mohr,Red
Rashad Evans,Forrest Griffin,Red
Yushin Okami,Dean Lister,Red
Cheick Kongo,Mostapha Al-Turk,Red
Antoni Hardonk,Mike Wessel,Red
Matt Hamill,Reese Andy,Red
Quinton Jackson,Wanderlei Silva,Red
Frank Mir,Antonio Rodrigo Nogueira,Red
CB Dollaway,Mike Massenzio,Red
Brad Blackburn,Ryo Chonan,Red
Pat Barry,Dan Evensen,Red
Wilson Gouveia,Jason MacDonald,Red
Junie Browning,David Kaplan,Red
Anthony Johnson,Kevin Burns,Red
Krzysztof Soszynski,Shane Primm,Red
Tom Lawlor,Kyle Kingsbury,Red
Efrain Escudero,Phillipe Nover,Red
Ryan Bader,Vinny Magalhaes,Red
Eliot Marshall,Jules Bruchez,Red
Shane Nelson,George Roop,Red
Rolando Delgado,John Polakowski,Red
Ben Saunders,Brandon Wolff,Red
Steve Cantwell,Razak Al-Hassan,Red
Jim Miller,Matt Wiman,Red
Steve Bruno,Johnny Rees,Red
Josh Koscheck,Yoshiyuki Yoshida,Red
Tim Credeur,Nate Loughran,Red
Luigi Fioravanti,Brodie Farber,Red
Mike Swick,Jonathan Goulet,Red
Dale Hartt,Corey Hill,Red
Justin McCully,Eddie Sanchez,Red
Brock Lesnar,Randy Couture,Red
Dustin Hazelett,Tamdan McCrory,Red
Kenny Florian,Joe Stevenson,Red
Demian Maia,Nate Quarry,Red
Jeremy Stephens,Rafael Dos Anjos,Red
Gabriel Gonzaga,Josh Hendricks,Red
Aaron Riley,Jorge Gurgel,Red
Mark Bocek,Alvin Robinson,Red
Matt Brown,Ryan Thomas,Red
Junior Dos Santos,Fabricio Werdum,Red
Sean Sherk,Tyson Griffin,Red
Thales Leites,Drew McFedries,Red
Gray Maynard,Rich Clementi,Red
Dan Miller,Matt Horwich,Red
Anderson Silva,Patrick Cote,Red
Spencer Fisher,Shannon Gugerty,Red
Thiago Alves,Josh Koscheck,Red
Pete Sell,Joshua Burkman,Red
Hermes Franca,Marcus Aurelio,Red
Dan Hardy,Akihiro Gono,Red
Luiz Cane,Rameau Thierry Sokoudjou,Red
Shane Carwin,Neil Wain,Red
Chris Lytle,Paul Taylor,Red
Marcus Davis,Paul Kelly,Red
Michael Bisping,Chris Leben,Red
David Bielkheden,Jess Liaudin,Red
Keith Jardine,Brandon Vera,Red
Terry Etim,Sam Stout,Red
Per Eklund,Samy Schiavo,Red
Jim Miller,David Baron,Red
Alan Belcher,Ed Herman,Red
Nate Diaz,Josh Neer,Red
Clay Guida,Mac Danzig,Red
Alessio Sakara,Joe Vedepo,Red
Joe Lauzon,Kyle Bradley,Red
Jason Brilz,Brad Morris,Red
Wilson Gouveia,Ryan Jensen,Red
Eric Schafer,Houston Alexander,Red
Mike Massenzio,Drew McFedries,Red
Dan Miller,Rob Kimmons,Red
Tim Boetsch,Michael Patt,Red
Rashad Evans,Chuck Liddell,Red
Jason MacDonald,Jason Lambert,Red
Dong Hyun Kim,Matt Brown,Red
Rich Franklin,Matt Hamill,Red
Kurt Pellegrino,Thiago Tavares,Red
Nate Marquardt,Martin Kampmann,Red
Dan Henderson,Rousimar Palhares,Red
Ryo Chonan,Roan Carneiro,Red
Rob Emerson,Manvel Gamburyan,Red
Demian Maia,Jason MacDonald,Red
Jon Jones,Andre Gusmao,Red
Kenny Florian,Roger Huerta,Red
Tamdan McCrory,Luke Cummo,Red
Brock Lesnar,Heath Herring,Red
Georges St-Pierre,Jon Fitch,Red
Cheick Kongo,Dan Evensen,Red
Ben Saunders,Ryan Thomas,Red
Chris Wilson,Steve Bruno,Red
Brandon Vera,Reese Andy,Red
Anderson Silva,James Irvin,Red
Cain Velasquez,Jake O'Brien,Red
Tim Credeur,Cale Yarbrough,Red
Rory Markham,Brodie Farber,Red
CB Dollaway,Jesse Taylor,Red
Frankie Edgar,Hermes Franca,Red
Nate Loughran,Johnny Rees,Red
Kevin Burns,Anthony Johnson,Red
Shannon Gugerty,Dale Hartt,Red
Brad Blackburn,James Giboo,Red
Joe Stevenson,Gleison Tibau,Red
Patrick Cote,Ricardo Almeida,Red
Melvin Guillard,Dennis Siver,Red
Cole Miller,Jorge Gurgel,Red
Forrest Griffin,Quinton Jackson,Red
Tyson Griffin,Marcus Aurelio,Red
Josh Koscheck,Chris Lytle,Red
Gabriel Gonzaga,Justin McCully,Red
Justin Buchholz,Corey Hill,Red
Dustin Hazelett,Joshua Burkman,Red
Matt Brown,Matt Arroyo,Red
Kendall Grove,Evan Tanner,Red
Diego Sanchez,Luigi Fioravanti,Red
Matthew Riddle,Dante Rivera,Red
Amir Sadollah,CB Dollaway,Red
Spencer Fisher,Jeremy Stephens,Red
Drew McFedries,Marvin Eastman,Red
Dean Lister,Jeremy Horn,Red
Rob Kimmons,Rob Yundt,Red
Martin Kampmann,Jorge Rivera,Red
Mike Swick,Marcus Davis,Red
Michael Bisping,Jason Day,Red
Fabricio Werdum,Brandon Vera,Red
Matt Wiman,Thiago Tavares,Red
Thiago Alves,Matt Hughes,Red
Thales Leites,Nate Marquardt,Red
Kevin Burns,Roan Carneiro,Red
Luiz Cane,Jason Lambert,Red
Paul Taylor,Jess Liaudin,Red
Antoni Hardonk,Eddie Sanchez,Red
Rich Clementi,Terry Etim,Red
Wanderlei Silva,Keith Jardine,Red
Rousimar Palhares,Ivan Salaverry,Red
Rameau Thierry Sokoudjou,Kazuhiro Nakamura,Red
BJ Penn,Sean Sherk,Red
Lyoto Machida,Tito Ortiz,Red
Goran Reljic,Wilson Gouveia,Red
Thiago Silva,Antonio Mendes,Red
Yoshiyuki Yoshida,War Machine,Red
Dong Hyun Kim,Jason Tan,Red
Shane Carwin,Christian Wellisch,Red
Jason Day,Alan Belcher,Red
Georges St-Pierre,Matt Serra,Red
Mac Danzig,Mark Bocek,Red
Michael Bisping,Charles McCarthy,Red
Rich Franklin,Travis Lutter,Red
Demian Maia,Ed Herman,Red
Jason MacDonald,Joe Doerksen,Red
Nate Quarry,Kalib Starnes,Red
Cain Velasquez,Brad Morris,Red
Rich Clementi,Sam Stout,Red
Jonathan Goulet,Kuniyoshi Hironaka,Red
Matt Hamill,Tim Boetsch,Red
Marcus Aurelio,Ryan Roberts,Red
James Irvin,Houston Alexander,Red
Thiago Alves,Karo Parisyan,Red
Kenny Florian,Joe Lauzon,Red
Gray Maynard,Frankie Edgar,Red
Nate Diaz,Kurt Pellegrino,Red
Josh Neer,Din Thomas,Red
Clay Guida,Samy Schiavo,Red
Manvel Gamburyan,Jeff Cox,Red
Anthony Johnson,Tommy Speer,Red
George Sotiropoulos,Roman Mitichyan,Red
Josh Koscheck,Dustin Hazelett,Red
Luigi Fioravanti,Luke Cummo,Red
Jon Fitch,Chris Wilson,Red
Chris Leben,Alessio Sakara,Red
Heath Herring,Cheick Kongo,Red
Andrei Arlovski,Jake O'Brien,Red
Anderson Silva,Dan Henderson,Red
Yushin Okami,Evan Tanner,Red
Diego Sanchez,David Bielkheden,Red
Jorge Gurgel,John Halverson,Red
Nate Marquardt,Jeremy Horn,Red
Ricardo Almeida,Rob Yundt,Red
Antonio Rodrigo Nogueira,Tim Sylvia,Red
Marvin Eastman,Terry Martin,Red
Tim Boetsch,David Heath,Red
Frank Mir,Brock Lesnar,Red
Tyson Griffin,Gleison Tibau,Red
Chris Lytle,Kyle Bradley,Red
Rob Emerson,Keita Nakamura,Red
Patrick Cote,Drew McFedries,Red
Nate Diaz,Alvin Robinson,Red
Kurt Pellegrino,Alberto Crane,Red
Thiago Tavares,Michihiro Omigawa,Red
Gray Maynard,Dennis Siver,Red
Corey Hill,Joe Veres,Red
Jeremy Stephens,Cole Miller,Red
Mike Swick,Joshua Burkman,Red
Matt Wiman,Justin Buchholz,Red
Marcus Davis,Jess Liaudin,Red
