R_fighter,B_fighter,Winner
Eddie Wineland,Sean O'Malley,Blue
Alex Caceres,Chase Hooper,Red
Raphael Assuncao,Cody Garbrandt,Blue
Amanda Nunes,Felicia Spencer,Red
Aljamain Sterling,Cory Sandhagen,Red
Neil Magny,Anthony Rocco Martin,Red
Ian Heinisch,Gerald Meerschaert,Red
Charles Byrd,Maki Pitolo,Blue
Evan Dunham,Herbert Burns,Blue
Alonzo Menifield,Devin Clark,Blue
Jussier Formiga,Alex Perez,Blue
Blagoy Ivanov,Augusto Sakai,Blue
Jamahal Hill,Klidson Abreu,Draw
Mackenzie Dern,Hannah Cifers,Red
Daniel Rodriguez,Gabe Green,Red
Katlyn Chookagian,Antonina Shevchenko,Red
Tyron Woodley,Gilbert Burns,Blue
Roosevelt Roberts,Brok Weaver,Red
Billy Quarantillo,Spike Carlyle,Red
Tim Elliott,Brandon Royval,Blue
Louis Smolka,Casey Kenney,Blue
Chris Gutierrez,Vince Morales,Red
Dan Ige,Edson Barboza,Red
Claudia Gadelha,Angela Hill,Red
Anthony Hernandez,Kevin Holland,Blue
Giga Chikadze,Irwin Rivera,Red
Eryk Anders,Krzysztof Jotko,Blue
Matt Brown,Miguel Baeza,Blue
Alistair Overeem,Walt Harris,Red
Song Yadong,Marlon Vera,Red
Cortney Casey,Mara Romero Borella,Red
Darren Elkins,Nate Landwehr,Blue
Rodrigo Nascimento,Don'Tale Mayes,Red
Ricky Simon,Ray Borg,Red
Ben Rothwell,Ovince Saint Preux,Red
Gabriel Benitez,Omar Morales,Blue
Anthony Smith,Glover Teixeira,Blue
Andrei Arlovski,Philipe Lins,Red
Michael Johnson,Thiago Moises,Blue
Alexander Hernandez,Drew Dober,Blue
Sijara Eubanks,Sarah Moras,Red
Hunter Azure,Brian Kelleher,Blue
Chase Sherman,Ike Villanueva,Red
Carla Esparza,Michelle Waterson,Red
Anthony Pettis,Donald Cerrone,Red
Aleksei Oleinik,Fabricio Werdum,Red
Jeremy Stephens,Calvin Kattar,Blue
Tony Ferguson,Justin Gaethje,Blue
Francis Ngannou,Jairzinho Rozenstruik,Red
Henry Cejudo,Dominick Cruz,Red
Vicente Luque,Niko Price,Red
Greg Hardy,Yorgan De Castro,Red
Ryan Spann,Sam Alvey,Red
Bryce Mitchell,Charles Rosa,Red
Amanda Ribas,Randa Markos,Red
Jussier Formiga,Brandon Moreno,Blue
Renato Moicano,Damir Hadzovic,Red
Elizeu Zaleski dos Santos,Aleksei Kunchenko,Red
Johnny Walker,Nikita Krylov,Blue
Demian Maia,Gilbert Burns,Blue
Kevin Lee,Charles Oliveira,Blue
Francisco Trinaldo,John Makdessi,Red
Rani Yahya,Enrique Barzola,Draw
Mayra Bueno Silva,Maryna Moroz,Blue
Bruno Silva,David Dvorak,Blue
